building_type,area_sqm,floors,location,foundation_type,roof_type,has_basement,has_parking,labor_rate,total_cost
Commercial,5770,14,Urban,Concrete,Flat,0,0,12300,50000000
Industrial,2254,20,Urban,Pile,Flat,0,1,7200,50000000
Industrial,14130,7,Urban,Slab,Flat,0,1,5600,50000000
Industrial,13938,8,Urban,Concrete,Dome,0,1,14700,50000000
Residential,13443,2,Suburban,Pile,Flat,0,1,11700,50000000
Industrial,3099,5,Suburban,Concrete,Flat,1,1,13200,43105078
Residential,13873,19,Rural,Slab,Pitched,1,1,6000,50000000
Commercial,552,10,Urban,Slab,Pitched,1,0,7200,19346941
Commercial,8311,9,Urban,Concrete,Flat,1,0,7600,50000000
Industrial,4496,19,Suburban,Slab,Flat,0,0,13100,50000000
Industrial,14390,20,Suburban,Slab,Dome,0,1,11000,50000000
Residential,3504,13,Suburban,Pile,Flat,0,1,6700,50000000
Residential,11221,15,Suburban,Slab,Dome,0,1,12900,50000000
Commercial,3936,15,Rural,Concrete,Flat,0,0,13100,50000000
Residential,10275,15,Suburban,Slab,Flat,0,1,8400,50000000
Commercial,9602,17,Urban,Concrete,Dome,1,1,8500,50000000
Commercial,14036,2,Suburban,Pile,Flat,0,1,11400,50000000
Commercial,12665,14,Suburban,Concrete,Flat,0,1,14000,50000000
Residential,7537,4,Urban,Concrete,Flat,0,1,9500,50000000
Commercial,1537,8,Urban,Slab,Flat,1,0,13700,44961605
Residential,3102,11,Urban,Concrete,Pitched,0,0,5200,50000000
Residential,12949,14,Rural,Pile,Dome,0,0,10400,50000000
Commercial,13378,11,Urban,Concrete,Pitched,1,1,11800,50000000
Commercial,11184,11,Urban,Concrete,Dome,0,1,13900,50000000
Residential,7945,15,Urban,Concrete,Dome,1,1,10800,50000000
Residential,9744,5,Urban,Pile,Pitched,1,1,8000,50000000
Residential,7053,14,Rural,Concrete,Pitched,1,1,5800,50000000
Industrial,5960,14,Urban,Concrete,Pitched,0,1,10900,50000000
Commercial,8506,15,Urban,Pile,Dome,1,0,11400,50000000
Industrial,6870,7,Suburban,Pile,Flat,0,1,3800,50000000
Commercial,11716,4,Suburban,Slab,Flat,0,1,4100,50000000
Industrial,3722,10,Suburban,Pile,Dome,0,1,9900,50000000
Residential,9102,8,Rural,Slab,Flat,1,0,7600,50000000
Residential,9400,20,Urban,Pile,Flat,0,1,14300,50000000
Residential,4992,14,Rural,Pile,Dome,0,1,12000,50000000
Commercial,7295,4,Urban,Concrete,Pitched,1,1,8800,50000000
Commercial,12067,19,Urban,Concrete,Dome,1,1,14700,50000000
Commercial,6796,19,Suburban,Concrete,Pitched,0,1,5000,50000000
Residential,13675,20,Suburban,Pile,Dome,0,1,14500,50000000
Residential,12159,20,Rural,Concrete,Pitched,0,0,7400,50000000
Residential,11730,2,Suburban,Slab,Pitched,0,1,13200,50000000
Commercial,3007,17,Rural,Slab,Dome,1,1,14500,50000000
Residential,14585,7,Urban,Slab,Pitched,1,0,13900,50000000
Residential,3573,10,Suburban,Concrete,Pitched,1,1,14400,50000000
Commercial,12410,4,Urban,Pile,Dome,0,0,7500,50000000
Residential,13619,20,Urban,Pile,Pitched,1,0,8500,50000000
Residential,5616,16,Urban,Pile,Flat,0,1,9400,50000000
Industrial,5575,2,Urban,Pile,Flat,1,1,13000,41479631
Commercial,6592,15,Rural,Concrete,Pitched,0,1,9100,50000000
Residential,13546,15,Rural,Pile,Flat,0,1,10400,50000000
Industrial,14365,18,Rural,Concrete,Flat,0,0,14200,50000000
Commercial,12168,4,Urban,Concrete,Pitched,0,0,4800,50000000
Commercial,11362,13,Urban,Concrete,Flat,0,1,7700,50000000
Industrial,5990,3,Urban,Concrete,Dome,0,1,5800,50000000
Commercial,9431,20,Urban,Slab,Dome,1,1,11200,50000000
Industrial,4682,18,Suburban,Pile,Flat,1,0,7100,50000000
Commercial,13093,15,Urban,Concrete,Flat,0,1,11100,50000000
Commercial,1624,1,Rural,Pile,Dome,0,0,14800,6416457
Residential,10397,6,Urban,Slab,Flat,0,1,12400,50000000
Residential,1423,9,Rural,Slab,Flat,0,1,9200,30585449
Commercial,3764,11,Urban,Slab,Dome,1,1,5900,50000000
Commercial,7650,18,Rural,Pile,Dome,0,1,11600,50000000
Commercial,11333,1,Rural,Concrete,Dome,0,1,5500,29677486
Residential,14637,15,Suburban,Slab,Pitched,1,1,5100,50000000
Industrial,4720,4,Urban,Pile,Flat,1,1,6100,50000000
Commercial,7117,20,Urban,Slab,Dome,0,0,6900,50000000
Residential,4977,16,Rural,Concrete,Flat,0,1,7400,50000000
Residential,899,19,Rural,Slab,Pitched,1,0,10100,45464403
Residential,8000,12,Suburban,Slab,Pitched,0,1,7000,50000000
Residential,5572,17,Urban,Pile,Pitched,0,1,8100,50000000
Residential,14401,16,Urban,Slab,Dome,1,1,5600,50000000
Commercial,13963,17,Rural,Pile,Dome,0,1,12500,50000000
Commercial,9949,17,Suburban,Slab,Pitched,0,1,13900,50000000
Industrial,11030,2,Rural,Pile,Flat,0,1,6700,41813798
Commercial,12582,11,Rural,Concrete,Pitched,0,0,11700,50000000
Residential,4639,3,Suburban,Slab,Flat,1,1,6100,30217687
Industrial,12756,6,Urban,Concrete,Flat,0,0,7000,50000000
Commercial,8197,13,Suburban,Pile,Pitched,0,0,10200,50000000
Industrial,12720,14,Suburban,Concrete,Pitched,1,0,8500,50000000
Industrial,7839,20,Rural,Pile,Pitched,0,1,10400,50000000
Industrial,4857,10,Rural,Slab,Dome,0,0,3900,50000000
Commercial,1042,20,Suburban,Pile,Pitched,1,1,3300,41893462
Residential,746,19,Urban,Slab,Dome,0,1,11300,33014795
Residential,1297,18,Urban,Pile,Dome,1,1,9800,50000000
Commercial,768,2,Rural,Slab,Pitched,1,1,7900,3973159
Industrial,14197,12,Suburban,Concrete,Dome,0,1,5500,50000000
Residential,894,4,Urban,Slab,Flat,0,1,14900,11593202
Commercial,3631,10,Urban,Pile,Pitched,1,1,14700,50000000
Residential,12843,13,Rural,Concrete,Flat,0,1,4600,50000000
Industrial,2202,18,Rural,Pile,Pitched,0,1,4600,50000000
Residential,10128,5,Urban,Concrete,Pitched,1,1,9300,50000000
Residential,9136,9,Suburban,Concrete,Dome,1,1,12300,50000000
Industrial,4009,11,Urban,Slab,Pitched,1,0,8900,50000000
Commercial,5391,12,Suburban,Pile,Dome,0,0,13100,50000000
Industrial,4341,6,Suburban,Slab,Pitched,1,0,8400,50000000
Commercial,3511,8,Rural,Pile,Dome,0,1,7000,50000000
Industrial,3702,4,Rural,Concrete,Pitched,0,0,3100,22824460
Industrial,13686,18,Urban,Slab,Pitched,1,1,11800,50000000
Commercial,8891,15,Suburban,Concrete,Pitched,1,0,9100,50000000
Residential,7247,19,Urban,Slab,Dome,1,1,4900,50000000
Commercial,8285,8,Rural,Concrete,Pitched,1,1,13100,50000000
Commercial,3686,19,Rural,Slab,Flat,0,1,3400,50000000
Residential,8768,1,Suburban,Slab,Flat,0,0,11800,22371290
Industrial,13826,2,Urban,Pile,Dome,0,0,6400,50000000
Residential,10381,14,Suburban,Pile,Flat,0,0,7900,50000000
Industrial,9094,9,Suburban,Concrete,Dome,1,1,7700,50000000
Commercial,14504,2,Rural,Slab,Flat,0,0,8500,50000000
Industrial,12545,11,Rural,Pile,Pitched,0,1,4800,50000000
Industrial,7609,7,Urban,Concrete,Dome,0,1,12100,50000000
Industrial,9707,19,Suburban,Concrete,Flat,1,1,3500,50000000
Commercial,10206,18,Suburban,Pile,Flat,1,1,10300,50000000
Residential,14979,1,Suburban,Pile,Flat,0,1,10800,43282964
Commercial,10974,17,Urban,Slab,Flat,0,1,7400,50000000
Commercial,5751,1,Suburban,Slab,Dome,0,0,10400,18893596
Residential,10799,12,Suburban,Concrete,Flat,1,0,12200,50000000
Commercial,5568,18,Rural,Slab,Flat,0,1,4700,50000000
Residential,12059,2,Urban,Concrete,Flat,0,1,11400,50000000
Residential,8353,7,Urban,Slab,Flat,1,0,8700,50000000
Residential,5375,2,Suburban,Concrete,Dome,1,0,8500,31875204
Residential,12713,16,Suburban,Slab,Flat,1,0,10000,50000000
Industrial,695,3,Rural,Concrete,Pitched,1,1,7100,4323354
Commercial,5640,8,Rural,Pile,Dome,0,1,11700,50000000
Residential,3490,17,Suburban,Pile,Flat,1,1,7800,50000000
Residential,6557,2,Rural,Pile,Dome,0,1,10900,31828071
Commercial,10896,18,Rural,Slab,Flat,0,1,10600,50000000
Commercial,4144,19,Urban,Pile,Flat,0,1,5000,50000000
Residential,11331,16,Rural,Concrete,Flat,0,1,3800,50000000
Industrial,6554,10,Rural,Concrete,Dome,1,1,13300,50000000
Industrial,3410,3,Urban,Pile,Pitched,0,1,14100,36043655
Commercial,3103,11,Suburban,Concrete,Pitched,0,1,5900,50000000
Industrial,3676,1,Rural,Slab,Dome,1,0,8500,10919079
Industrial,14670,18,Rural,Slab,Pitched,0,1,13800,50000000
Industrial,5924,11,Suburban,Slab,Flat,0,1,9800,50000000
Industrial,5042,8,Urban,Concrete,Dome,0,1,12400,50000000
Commercial,14254,19,Urban,Pile,Flat,0,0,11400,50000000
Industrial,5216,20,Rural,Concrete,Dome,0,0,9600,50000000
Commercial,7905,19,Rural,Pile,Pitched,1,1,12000,50000000
Commercial,7670,6,Urban,Pile,Dome,0,0,7800,50000000
Residential,11949,20,Suburban,Slab,Dome,1,0,6000,50000000
Residential,7864,4,Rural,Pile,Flat,1,0,14600,50000000
Commercial,3099,12,Suburban,Pile,Dome,1,0,10600,50000000
Industrial,7598,2,Rural,Slab,Pitched,1,1,13600,48183631
Industrial,5026,12,Suburban,Pile,Flat,0,1,11000,50000000
Residential,3179,7,Suburban,Slab,Flat,1,0,13100,50000000
Industrial,8309,2,Rural,Slab,Dome,0,1,4500,31381577
Commercial,11297,12,Rural,Slab,Pitched,0,1,9500,50000000
Residential,6137,18,Rural,Pile,Dome,0,1,14800,50000000
Commercial,9975,10,Rural,Concrete,Pitched,0,0,4200,50000000
Residential,14444,7,Rural,Slab,Flat,1,1,9000,50000000
Industrial,13278,12,Rural,Slab,Flat,0,1,3800,50000000
Commercial,7194,16,Suburban,Slab,Pitched,1,1,10200,50000000
Residential,9540,19,Urban,Pile,Flat,0,0,13000,50000000
Commercial,2203,10,Rural,Slab,Pitched,0,1,12600,50000000
Industrial,5568,16,Urban,Concrete,Pitched,0,1,9100,50000000
Industrial,8137,14,Rural,Slab,Dome,1,0,11100,50000000
Commercial,13419,20,Urban,Pile,Dome,1,1,9300,50000000
Commercial,9325,9,Suburban,Concrete,Pitched,0,1,12300,50000000
Commercial,10490,9,Urban,Pile,Flat,0,1,3300,50000000
Industrial,12479,7,Urban,Slab,Flat,1,1,11600,50000000
Industrial,8897,19,Rural,Concrete,Pitched,0,1,6800,50000000
Residential,3226,18,Rural,Pile,Pitched,1,0,9400,50000000
Industrial,7281,2,Suburban,Concrete,Dome,0,1,6800,45577606
Industrial,11357,1,Urban,Concrete,Pitched,1,1,13100,50000000
Residential,8361,1,Rural,Pile,Pitched,1,0,9400,18990939
Commercial,4112,7,Rural,Slab,Pitched,0,1,7500,50000000
Commercial,4269,17,Urban,Pile,Pitched,0,1,5000,50000000
Residential,11250,8,Suburban,Slab,Pitched,0,0,9300,50000000
Residential,3749,8,Urban,Pile,Flat,1,1,9200,50000000
Industrial,9824,20,Rural,Slab,Flat,0,0,11800,50000000
Industrial,6372,9,Suburban,Concrete,Flat,0,0,4700,50000000
Industrial,8881,1,Rural,Concrete,Flat,1,0,14500,32863061
Residential,2594,4,Rural,Pile,Dome,1,1,10800,34457452
Residential,10618,8,Rural,Slab,Flat,0,1,4700,50000000
Residential,1065,13,Suburban,Pile,Flat,1,0,10600,32057701
Commercial,403,17,Rural,Slab,Dome,1,1,3300,18957134
Residential,10839,8,Rural,Pile,Dome,0,0,8200,50000000
Industrial,3564,14,Suburban,Pile,Dome,1,1,10600,50000000
Commercial,10783,12,Urban,Pile,Flat,1,1,13200,50000000
Industrial,5193,2,Rural,Slab,Flat,0,1,8100,24927286
Industrial,6541,20,Rural,Concrete,Dome,1,1,6600,50000000
Industrial,11945,17,Suburban,Slab,Dome,0,0,10900,50000000
Industrial,6754,14,Urban,Pile,Flat,1,1,4500,50000000
Industrial,4526,8,Suburban,Pile,Pitched,1,1,6300,50000000
Industrial,5676,8,Rural,Slab,Pitched,1,1,3400,50000000
Commercial,727,16,Rural,Pile,Dome,0,1,13600,41134337
Commercial,8830,5,Urban,Concrete,Flat,1,0,10300,50000000
Industrial,8959,11,Rural,Pile,Pitched,0,1,8700,50000000
Commercial,12754,17,Urban,Slab,Dome,1,1,7600,50000000
Industrial,2077,4,Urban,Slab,Flat,0,0,11000,27526869
Residential,14424,15,Rural,Slab,Dome,0,1,12900,50000000
Commercial,13784,19,Urban,Concrete,Pitched,0,1,12800,50000000
Industrial,11785,10,Suburban,Pile,Pitched,0,0,12400,50000000
Residential,9310,19,Suburban,Pile,Flat,0,1,11000,50000000
Commercial,6014,2,Urban,Slab,Pitched,0,1,7300,32320747
Industrial,5041,4,Rural,Concrete,Pitched,0,1,9700,50000000
Commercial,6995,1,Suburban,Concrete,Dome,1,1,14100,40151436
Residential,359,10,Urban,Pile,Dome,0,0,8300,9833519
Industrial,1634,1,Rural,Slab,Dome,0,1,5400,3652966
Industrial,8274,17,Suburban,Pile,Dome,0,1,8100,50000000
Industrial,1294,4,Rural,Concrete,Dome,0,1,10900,12670884
Residential,14219,12,Rural,Pile,Pitched,0,1,3400,50000000
Commercial,8493,4,Rural,Concrete,Pitched,1,1,14200,50000000
Residential,722,20,Rural,Concrete,Dome,0,1,11500,50000000
Industrial,7887,11,Urban,Concrete,Flat,1,0,3100,50000000
Residential,8182,3,Rural,Pile,Flat,0,1,3400,44955179
Residential,14758,7,Rural,Concrete,Dome,0,1,3500,50000000
Industrial,5790,14,Urban,Slab,Flat,1,0,8800,50000000
Industrial,6233,19,Rural,Pile,Flat,1,1,3500,50000000
Industrial,12566,11,Suburban,Pile,Dome,0,1,8100,50000000
Commercial,1012,17,Rural,Concrete,Flat,0,0,5100,45658247
Industrial,11672,15,Urban,Slab,Flat,1,1,11000,50000000
Industrial,6038,15,Urban,Slab,Flat,1,1,14300,50000000
Residential,12932,6,Suburban,Pile,Pitched,0,1,6500,50000000
Commercial,2812,9,Suburban,Concrete,Pitched,0,1,11300,50000000
Commercial,12568,17,Suburban,Concrete,Dome,1,0,13400,50000000
Residential,321,20,Rural,Concrete,Dome,0,1,4000,15727451
Commercial,8632,11,Urban,Pile,Flat,0,0,14700,50000000
Residential,9460,4,Urban,Pile,Pitched,0,1,12600,50000000
Industrial,6828,5,Rural,Concrete,Pitched,1,1,13400,50000000
Residential,5220,5,Rural,Pile,Flat,1,0,12700,50000000
Industrial,14873,15,Rural,Slab,Flat,1,0,8500,50000000
Industrial,5722,1,Suburban,Concrete,Pitched,0,1,14900,21241746
Industrial,1656,11,Rural,Concrete,Flat,0,1,13400,47459495
Residential,14715,12,Rural,Pile,Pitched,0,1,10500,50000000
Residential,4859,13,Suburban,Slab,Dome,1,0,13600,50000000
Commercial,11192,2,Rural,Slab,Dome,1,1,13700,50000000
Residential,8212,9,Suburban,Pile,Dome,0,1,7100,50000000
Residential,3884,5,Rural,Pile,Dome,0,0,11700,43746079
Industrial,2188,4,Suburban,Pile,Dome,0,1,15000,40065411
Industrial,11964,2,Suburban,Pile,Flat,1,1,11900,50000000
Industrial,9724,18,Urban,Slab,Dome,0,1,11100,50000000
Residential,11050,7,Rural,Concrete,Flat,0,1,7600,50000000
Industrial,11691,9,Rural,Pile,Dome,0,1,3900,50000000
Industrial,7850,3,Urban,Pile,Flat,0,1,13500,50000000
Commercial,11754,1,Urban,Concrete,Pitched,0,1,4700,40635013
Residential,12319,7,Suburban,Concrete,Flat,0,0,11300,50000000
Commercial,12266,17,Rural,Slab,Pitched,0,1,14200,50000000
Commercial,10184,18,Urban,Slab,Pitched,0,1,13800,50000000
Residential,1981,5,Rural,Pile,Flat,1,1,11600,23717036
Residential,8923,17,Urban,Pile,Dome,0,1,7700,50000000
Commercial,6071,2,Suburban,Slab,Pitched,1,1,12200,44594749
Residential,3988,19,Urban,Concrete,Dome,0,1,8100,50000000
Industrial,7233,14,Urban,Slab,Pitched,1,1,13300,50000000
Residential,7445,12,Rural,Pile,Dome,1,1,13900,50000000
Industrial,13838,7,Urban,Concrete,Pitched,0,0,14400,50000000
Industrial,10053,9,Urban,Slab,Dome,1,1,9000,50000000
Commercial,6826,7,Rural,Concrete,Flat,1,1,7800,50000000
Residential,10873,20,Suburban,Slab,Pitched,0,0,13200,50000000
Residential,6789,17,Urban,Slab,Dome,1,1,11700,50000000
Residential,14221,10,Rural,Concrete,Pitched,0,1,6400,50000000
Commercial,12675,14,Urban,Pile,Dome,0,1,9800,50000000
Industrial,4876,7,Rural,Slab,Flat,1,0,14100,50000000
Commercial,11055,4,Urban,Pile,Pitched,0,1,10100,50000000
Industrial,1343,17,Suburban,Pile,Dome,1,0,4500,50000000
Industrial,7956,2,Urban,Concrete,Dome,0,0,4100,39574344
Commercial,2508,4,Urban,Slab,Dome,0,0,14000,48903573
Industrial,4328,12,Rural,Slab,Pitched,1,0,14000,50000000
Commercial,3791,19,Rural,Concrete,Dome,1,0,8700,50000000
Industrial,5707,2,Rural,Pile,Pitched,0,1,14600,34027740
Residential,10482,16,Suburban,Slab,Flat,0,1,15000,50000000
Residential,2842,19,Suburban,Slab,Flat,0,0,7100,50000000
Residential,4709,12,Rural,Pile,Dome,1,1,10000,50000000
Residential,14904,4,Suburban,Concrete,Dome,1,1,9300,50000000
Residential,7410,19,Suburban,Pile,Pitched,1,1,5900,50000000
Industrial,8241,17,Suburban,Slab,Pitched,0,1,11700,50000000
Industrial,12241,18,Suburban,Slab,Dome,1,1,11900,50000000
Residential,459,10,Urban,Slab,Pitched,1,1,5400,13804180
Industrial,11071,7,Urban,Concrete,Flat,1,1,13500,50000000
Industrial,14514,7,Urban,Pile,Pitched,1,1,3000,50000000
Industrial,537,13,Suburban,Concrete,Flat,0,1,8300,21439173
Residential,13845,7,Suburban,Concrete,Flat,0,1,8100,50000000
Commercial,10938,16,Urban,Pile,Dome,1,0,10600,50000000
Commercial,11871,15,Rural,Concrete,Flat,0,0,7900,50000000
Residential,12683,14,Rural,Slab,Pitched,1,1,6500,50000000
Residential,13083,7,Urban,Pile,Dome,1,0,11200,50000000
Residential,6528,6,Urban,Concrete,Flat,0,0,11600,50000000
Industrial,13453,4,Rural,Concrete,Dome,1,1,9500,50000000
Commercial,5724,16,Rural,Concrete,Dome,0,1,13500,50000000
Industrial,3964,14,Urban,Concrete,Dome,1,0,9700,50000000
Residential,5831,20,Suburban,Concrete,Flat,1,0,6600,50000000
Residential,9737,17,Suburban,Concrete,Pitched,1,0,3400,50000000
Residential,10750,10,Rural,Concrete,Flat,1,1,5000,50000000
Commercial,643,20,Urban,Slab,Flat,0,0,3600,27727279
Industrial,7958,2,Urban,Slab,Dome,0,1,14200,50000000
Residential,8180,14,Suburban,Concrete,Pitched,0,1,4300,50000000
Industrial,11070,19,Urban,Concrete,Dome,1,1,3800,50000000
Commercial,4890,4,Rural,Concrete,Pitched,0,1,4500,41695665
Commercial,3794,5,Urban,Slab,Pitched,0,1,11500,50000000
Commercial,6121,15,Rural,Slab,Flat,1,1,5000,50000000
Residential,10150,16,Urban,Slab,Pitched,0,1,9200,50000000
Residential,476,3,Rural,Pile,Dome,0,1,9100,2916976
Residential,5418,5,Urban,Slab,Flat,0,0,14000,50000000
Commercial,14257,16,Suburban,Concrete,Flat,1,1,14000,50000000
Commercial,12606,3,Suburban,Pile,Pitched,1,1,12300,50000000
Commercial,12138,20,Urban,Concrete,Flat,1,0,5700,50000000
Commercial,8755,1,Rural,Pile,Dome,0,1,11400,33736789
Residential,751,15,Suburban,Slab,Pitched,1,0,4300,24074379
Commercial,10642,12,Rural,Pile,Dome,0,1,5100,50000000
Commercial,3561,10,Rural,Slab,Flat,0,1,6100,50000000
Industrial,7276,8,Rural,Pile,Flat,0,1,11700,50000000
Industrial,13776,4,Suburban,Concrete,Dome,0,1,13700,50000000
Residential,3940,7,Urban,Pile,Pitched,1,1,8900,50000000
Commercial,8166,6,Rural,Slab,Pitched,0,1,14200,50000000
Industrial,8705,10,Rural,Slab,Pitched,0,1,5600,50000000
Residential,1359,3,Suburban,Concrete,Flat,1,1,12700,10991324
Industrial,8970,2,Rural,Slab,Dome,1,1,3500,39197166
Commercial,10413,9,Rural,Slab,Dome,1,1,3500,50000000
Commercial,13642,17,Suburban,Concrete,Flat,0,1,6100,50000000
Commercial,10637,10,Suburban,Slab,Flat,0,1,12900,50000000
Commercial,3701,14,Suburban,Slab,Pitched,1,1,13500,50000000
Residential,4099,9,Rural,Pile,Pitched,1,1,3300,47896426
Industrial,13640,2,Rural,Pile,Dome,1,0,7900,50000000
Commercial,2951,15,Urban,Concrete,Flat,1,1,11200,50000000
Industrial,4280,8,Urban,Concrete,Pitched,0,0,3400,50000000
Industrial,8776,14,Urban,Slab,Pitched,0,0,7700,50000000
Industrial,12538,4,Urban,Slab,Flat,0,1,8400,50000000
Residential,2656,11,Urban,Concrete,Flat,1,1,13600,50000000
Residential,9076,13,Rural,Slab,Dome,1,1,6900,50000000
Commercial,1291,19,Suburban,Concrete,Pitched,0,1,7100,50000000
Industrial,2594,13,Rural,Slab,Pitched,0,0,3300,50000000
Industrial,8169,14,Rural,Slab,Flat,1,0,8900,50000000
Industrial,11567,7,Urban,Slab,Dome,0,1,9200,50000000
Commercial,8198,18,Suburban,Slab,Dome,0,1,5600,50000000
Industrial,8591,18,Suburban,Concrete,Flat,1,1,13100,50000000
Commercial,3277,18,Rural,Concrete,Dome,1,0,3800,50000000
Residential,12728,11,Urban,Pile,Flat,0,1,6800,50000000
Residential,11815,17,Rural,Pile,Flat,1,1,5700,50000000
Residential,7659,8,Suburban,Pile,Dome,0,1,13800,50000000
Industrial,14185,3,Rural,Concrete,Pitched,0,1,12800,50000000
Commercial,5430,5,Rural,Concrete,Dome,1,1,11200,50000000
Commercial,442,5,Rural,Pile,Flat,0,1,9900,5575931
Residential,12446,17,Urban,Slab,Dome,0,0,8500,50000000
Industrial,398,4,Urban,Concrete,Pitched,1,1,14500,4857257
Residential,12979,9,Urban,Slab,Dome,1,1,6500,50000000
Commercial,3800,13,Suburban,Concrete,Flat,0,1,12400,50000000
Industrial,14434,6,Urban,Concrete,Flat,0,1,14400,50000000
Commercial,10698,15,Suburban,Pile,Flat,1,0,7400,50000000
Residential,349,14,Urban,Slab,Flat,1,1,7400,10000168
Commercial,1820,18,Suburban,Pile,Flat,0,0,8200,50000000
Residential,7679,17,Urban,Pile,Pitched,1,1,3400,50000000
Commercial,7324,16,Rural,Concrete,Pitched,0,1,8200,50000000
Industrial,2281,6,Rural,Concrete,Flat,1,1,12200,50000000
Residential,4081,6,Urban,Slab,Flat,0,1,6900,50000000
Industrial,6407,10,Urban,Concrete,Dome,0,1,12800,50000000
Industrial,5814,19,Suburban,Slab,Dome,0,0,5300,50000000
Residential,11576,11,Urban,Concrete,Pitched,0,1,5900,50000000
Industrial,1928,10,Urban,Concrete,Pitched,0,1,14800,50000000
Commercial,5113,12,Urban,Concrete,Flat,1,1,12500,50000000
Commercial,7359,9,Rural,Slab,Flat,1,1,12200,50000000
Industrial,10876,19,Rural,Slab,Flat,0,1,9700,50000000
Residential,7636,7,Rural,Slab,Pitched,0,1,3800,50000000
Residential,2791,13,Rural,Concrete,Flat,1,1,3000,50000000
Commercial,7713,14,Rural,Pile,Pitched,1,1,12000,50000000
Industrial,6962,20,Rural,Pile,Dome,0,0,8700,50000000
Residential,12393,4,Rural,Slab,Pitched,0,1,5300,50000000
Commercial,10433,14,Urban,Pile,Dome,1,1,10400,50000000
Commercial,9292,6,Suburban,Concrete,Dome,1,1,14100,50000000
Residential,12029,11,Suburban,Concrete,Dome,0,0,6300,50000000
Commercial,3828,9,Rural,Slab,Dome,1,1,5000,50000000
Commercial,1442,9,Urban,Concrete,Flat,0,1,9600,32716311
Commercial,9170,11,Urban,Pile,Flat,0,1,10500,50000000
Residential,5481,13,Suburban,Pile,Pitched,0,1,8100,50000000
Residential,4033,7,Rural,Concrete,Flat,1,1,5400,50000000
Commercial,8824,11,Rural,Pile,Flat,0,1,3000,50000000
Residential,7856,5,Urban,Concrete,Flat,1,1,12000,50000000
Commercial,3532,10,Urban,Concrete,Flat,0,0,12300,50000000
Industrial,14988,11,Rural,Pile,Pitched,0,1,8100,50000000
Residential,6973,5,Rural,Slab,Flat,0,0,10000,50000000
Commercial,14786,8,Urban,Pile,Dome,0,1,15000,50000000
Commercial,12546,14,Urban,Pile,Flat,0,1,10900,50000000
Industrial,8726,10,Urban,Concrete,Flat,1,0,10500,50000000
Residential,10138,5,Urban,Concrete,Dome,0,1,5400,50000000
Industrial,8010,10,Rural,Concrete,Flat,1,0,9200,50000000
Commercial,8305,6,Suburban,Slab,Dome,0,1,10500,50000000
Industrial,9796,4,Suburban,Pile,Pitched,1,1,13500,50000000
Residential,6820,6,Suburban,Pile,Flat,0,1,4400,50000000
Industrial,13602,9,Rural,Concrete,Pitched,0,0,6000,50000000
Industrial,10494,6,Suburban,Pile,Pitched,1,1,10900,50000000
Residential,7596,19,Urban,Pile,Pitched,0,1,5800,50000000
Industrial,9487,7,Rural,Pile,Pitched,0,0,10000,50000000
Industrial,695,14,Urban,Concrete,Pitched,0,1,12900,27561028
Commercial,1599,10,Urban,Pile,Flat,0,1,8400,50000000
Industrial,14070,16,Urban,Pile,Dome,0,1,8000,50000000
Residential,1122,11,Suburban,Concrete,Pitched,1,0,15000,32113581
Industrial,13973,8,Suburban,Pile,Dome,0,0,12100,50000000
Residential,741,15,Rural,Concrete,Flat,0,0,3000,20760448
Commercial,2522,19,Urban,Slab,Dome,0,1,11900,50000000
Commercial,4505,17,Rural,Pile,Dome,0,0,12700,50000000
Commercial,13793,16,Rural,Slab,Flat,1,0,8200,50000000
Commercial,1115,1,Suburban,Concrete,Pitched,1,1,5700,4804182
Residential,4337,16,Rural,Pile,Dome,1,1,9500,50000000
Industrial,2117,18,Urban,Slab,Flat,0,1,6200,50000000
Industrial,570,14,Rural,Pile,Pitched,0,1,12300,25619791
Commercial,9809,8,Suburban,Concrete,Pitched,1,1,12200,50000000
Residential,801,7,Urban,Pile,Dome,1,0,3100,12879876
Commercial,10063,11,Rural,Slab,Flat,0,0,3200,50000000
Residential,4118,20,Urban,Pile,Flat,0,1,10800,50000000
Industrial,13511,3,Urban,Slab,Pitched,0,1,3900,50000000
Commercial,14287,20,Rural,Pile,Pitched,0,1,9900,50000000
Commercial,12597,6,Rural,Pile,Pitched,0,0,10700,50000000
Residential,9234,18,Urban,Concrete,Pitched,1,1,7800,50000000
Commercial,831,10,Rural,Concrete,Pitched,0,1,12500,31696862
Residential,8778,4,Urban,Concrete,Pitched,1,0,9100,50000000
Residential,12223,5,Rural,Slab,Dome,0,0,11300,50000000
Commercial,11503,4,Suburban,Concrete,Pitched,0,0,10400,50000000
Commercial,7639,6,Rural,Slab,Dome,0,1,12800,50000000
Commercial,8220,14,Rural,Slab,Dome,1,1,12900,50000000
Industrial,2115,20,Suburban,Slab,Dome,0,1,8300,50000000
Residential,5802,17,Urban,Slab,Dome,1,1,4600,50000000
Commercial,356,13,Rural,Concrete,Pitched,1,0,10100,14768233
Residential,14366,7,Urban,Pile,Pitched,1,1,12800,50000000
Residential,11959,20,Rural,Concrete,Flat,1,0,9300,50000000
Residential,5190,11,Suburban,Pile,Flat,1,0,8700,50000000
Commercial,1972,3,Urban,Slab,Dome,0,1,12900,30653414
Commercial,8814,13,Urban,Slab,Dome,1,1,13800,50000000
Residential,14572,1,Rural,Slab,Dome,1,1,5600,40847763
